status,time,card_type,city,amount,id
Success,2025-09-07 10:48:00,Visa,Tehran,1427657.0,98
Success,2025-09-20 13:10:00,Mastercard,Tehran,1578078.0,52
Fail,2025-09-29 03:27:00,Visa,Tehran,250000.0,20
Success,2025-09-15 13:13:00,Discover,Isfahan,0.0,40
Success,2025-09-11 11:11:00,Visa,Tehran,1782689.0,59
Fail,2025-09-08 21:21:00,Discover,Tehran,1050805.0,77
Success,2025-09-29 22:27:00,Visa,Tabriz,1387769.0,14
Fail,2025-09-21 03:00:00,Mastercard,Tehran,1502601.0,44
Success,2025-09-07 12:12:00,Discover,Isfahan,452545.0,87
Fail,2025-09-26 07:32:00,Visa,Tehran,0.0,82
Success,2025-09-19 12:12:00,Visa,Tehran,200000.0,48
Fail,2025-09-23 19:19:00,American Express,Shiraz,914282.0,94
Fail,2025-09-11 07:32:00,Visa,Tehran,774681.0,43
Fail,2025-09-11 14:30:00,Visa,Isfahan,1305967.0,16
Fail,2025-09-24 11:11:00,Visa,Karaj,177050.0,35
Fail,2025-09-21 11:11:00,Mastercard,Tehran,650000.0,53
Success,2025-09-04 10:05:00,American Express,Ahvaz,12345.0,34
Success,2025-09-08 19:51:00,Discover,Tehran,452545.0,3
Success,2025-09-24 03:00:00,Discover,Karaj,50200.0,68
Fail,2025-09-03 17:17:00,Mastercard,Tehran,1305967.0,5
Fail,2025-09-22 00:00:00,Discover,Ahvaz,471227.0,10
Fail,2025-09-21 11:11:00,Nan,Karaj,250000.0,52
Fail,2025-09-02 11:11:00,Visa,Qom,177050.0,29
Fail,2025-09-24 13:10:00,Discover,Tabriz,471227.0,97
Success,2025-09-12 16:40:00,Visa,Shiraz,2020587.5,31
Success,2025-09-30 16:40:00,Visa,Isfahan,976246.0,66
Fail,2025-09-06 01:01:00,Visa,Tehran,120000.0,76
Success,2025-09-02 16:40:00,Visa,Mashhad,1050805.0,92
Success,2025-09-28 03:27:00,Mastercard,Shiraz,0.0,69
Fail,2025-09-21 21:10:00,Discover,Tehran,1158713.0,37
Success,2025-09-01 14:30:00,Mastercard,Shiraz,450000.0,27
Fail,2025-09-12 22:27:00,Discover,Shiraz,452545.0,88
Fail,2025-09-26 03:27:00,Visa,Tehran,452545.0,33
Success,2025-09-22 02:54:00,Discover,Isfahan,100.5,68
Fail,2025-09-29 11:11:00,American Express,Tehran,452545.0,59
Success,2025-09-12 19:51:00,Visa,Tehran,2020587.5,64
Fail,2025-09-25 12:34:00,Discover,Isfahan,452545.0,85
Success,2025-09-17 14:02:00,Discover,Isfahan,99999.0,89
Success,2025-09-27 02:24:00,Mastercard,Tehran,1578078.0,44
Fail,2025-09-27 11:11:00,American Express,Tehran,63489.0,96
Fail,2025-09-10 19:29:00,Mastercard,Tabriz,450000.0,89
Success,2025-09-28 19:40:00,Discover,Tehran,177050.0,49
Fail,2025-09-28 12:12:00,American Express,Tehran,1050805.0,53
Fail,2025-09-16 07:32:00,Discover,Karaj,452545.0,74
Fail,2025-09-15 11:11:00,Mastercard,Isfahan,1578078.0,49
Success,2025-09-30 21:23:00,Visa,Tehran,343679.0,66
Success,2025-09-30 09:09:00,Discover,Qom,555555.0,96
Fail,2025-09-15 05:23:00,Mastercard,Shiraz,471227.0,63
Success,2025-09-30 01:01:00,Mastercard,Isfahan,976246.0,25
Success,2025-09-19 14:00:00,American Express,Karaj,343679.0,4
Fail,2025-09-12 21:23:00,Visa,Karaj,1463119.0,51
Fail,2025-09-23 08:08:00,Visa,Ahvaz,200000.0,11
Success,2025-09-20 02:24:00,Mastercard,Mashhad,976246.0,17
Success,2025-09-25 07:32:00,Mastercard,Ahvaz,2020587.5,66
Success,2025-09-03 18:12:00,American Express,Tehran,774681.0,70
Success,2025-09-05 02:30:00,Visa,Karaj,1578078.0,73
Fail,2025-09-19 02:24:00,Visa,Tabriz,205000.0,69
Fail,2025-09-07 02:30:00,Mastercard,Tabriz,1000.0,84
Fail,2025-09-21 07:08:00,American Express,Tehran,452545.0,29
Success,2025-09-09 14:02:00,Master Card,Tehran,419089.0,85
Fail,2025-09-07 09:09:00,Discover,Unknown,0.0,73
Fail,2025-09-18 16:16:00,Visa,Isfahan,2020587.5,93
Success,2025-09-04 16:40:00,Nan,Tehran,452545.0,72
Fail,2025-09-25 19:29:00,Mastercard,Tehran,0.0,96
Success,2025-09-28 14:11:00,Mastercard,Tabriz,0.0,20
Fail,2025-09-14 13:10:00,Discover,Qom,100.5,27
Success,2025-09-18 03:27:00,Visa,Isfahan,1578078.0,8
Success,2025-09-26 16:40:00,American Express,Shiraz,1427657.0,85
Fail,2025-09-09 13:13:00,Visa,Isfahan,452545.0,61
Fail,2025-09-26 12:12:00,Mastercard,Karaj,0.0,28
Fail,2025-09-21 21:21:00,Mastercard,Isfahan,0.0,88
Fail,2025-09-02 06:30:00,Visa,Qom,1768588.0,70
Success,2025-09-20 11:11:00,Visa,Tabriz,555555.0,3
Success,2025-09-28 04:04:00,American Express,Karaj,452545.0,69
Success,2025-09-15 07:07:00,Discover,Shiraz,205000.0,73
Fail,2025-09-28 13:10:00,Mastercard,Isfahan,419089.0,7
Fail,2025-09-07 06:06:00,Mastercard,Tabriz,914465.0,60
Success,2025-09-12 23:59:00,Visa,Shiraz,545116.0,4
Fail,2025-09-29 21:23:00,Visa,Tehran,976246.0,5
Fail,2025-09-08 19:40:00,Mastercard,Tehran,452545.0,11
Fail,2025-09-15 23:17:00,Visa,Ahvaz,0.0,15
Success,2025-09-03 05:23:00,Mastercard,Qom,585954.0,64
Fail,2025-09-14 07:08:00,Visa,Mashhad,583952.0,99
Fail,2025-09-17 01:51:00,Visa,Tehran,1883871.0,13
Fail,2025-09-04 05:23:00,Visa,Qom,100.5,7
Success,2025-09-18 14:00:00,Mastercard,Karaj,0.0,6
Fail,2025-09-08 14:00:00,Mastercard,Mashhad,583952.0,56
Success,2025-09-04 10:05:00,Mastercard,Tabriz,452545.0,64
Success,2025-09-02 17:07:00,Mastercard,Karaj,1578078.0,50
Fail,2025-09-30 04:04:00,Mastercard,Tehran,99999.0,30
Success,2025-09-06 08:08:00,Visa,Karaj,0.0,22
Success,2025-09-22 02:54:00,Mastercard,Tehran,1000.0,25
Fail,2025-09-10 19:51:00,American Express,Tabriz,452545.0,28
Success,2025-09-04 03:27:00,American Express,Mashhad,1387769.0,84
Success,2025-09-22 04:15:00,Visa,Qom,452545.0,39
Fail,2025-09-29 16:16:00,Visa,Tehran,1782689.0,67
Success,2025-09-18 10:05:00,Visa,Tabriz,452545.0,5
Fail,2025-09-26 14:11:00,Visa,Ahvaz,1472823.0,65
Success,2025-09-12 09:45:00,Discover,Karaj,1578078.0,15
Success,2025-09-02 16:40:00,Mastercard,Karaj,100.5,91
Success,2025-09-10 02:20:00,Mastercard,Tehran,585954.0,67
Fail,2025-09-30 09:09:00,Visa,Tabriz,177050.0,40
Fail,2025-09-04 14:00:00,Mastercard,Tehran,1578078.0,99
Success,2025-09-14 23:59:00,American Express,Shiraz,1427657.0,69
Success,2025-09-16 01:01:00,Mastercard,Tehran,452545.0,96
Fail,2025-09-15 22:27:00,Nan,Tabriz,585954.0,77
Fail,2025-09-08 23:17:00,Discover,Tabriz,99999.0,43
Success,2025-09-14 17:07:00,American Express,Karaj,0.0,1
Success,2025-09-23 19:29:00,Visa,Tehran,1427657.0,22
Success,2025-09-28 02:37:00,Discover,Karaj,343679.0,62
Fail,2025-09-25 19:40:00,Mastercard,Karaj,1782689.0,79
Success,2025-09-30 13:10:00,Visa,Isfahan,1782689.0,26
Fail,2025-09-08 11:11:00,American Express,Karaj,555555.0,18
Fail,2025-09-21 03:27:00,Visa,Ahvaz,12345.0,48
Fail,2025-09-16 07:08:00,Visa,Ahvaz,333333.0,9
Success,2025-09-13 10:48:00,Mastercard,Karaj,200000.0,1
Fail,2025-09-18 02:24:00,Mastercard,Tehran,914465.0,9
Success,2025-09-15 09:45:00,Visa,Shiraz,250000.0,23
Success,2025-09-21 13:10:00,Nan,Mashhad,471227.0,45
Success,2025-09-24 15:45:00,Visa,Tehran,1463119.0,2
Success,2025-09-26 07:07:00,Visa,Shiraz,1427657.0,14
Success,2025-09-25 21:23:00,Visa,Shiraz,100000.0,38
Success,2025-09-28 04:40:00,Visa,Unknown,100.5,40
Fail,2025-09-28 23:59:00,Visa,Tehran,583952.0,63
Success,2025-09-28 21:23:00,Visa,Tabriz,2020587.5,82
Success,2025-09-13 00:00:00,Mastercard,Shiraz,333333.0,16
Success,2025-09-09 08:08:00,Discover,Tabriz,0.0,94
Fail,2025-09-29 14:11:00,Master Card,Isfahan,452545.0,75
Fail,2025-09-15 11:11:00,Discover,Tehran,555555.0,6
Fail,2025-09-13 06:06:00,Visa,Qom,452545.0,3
Fail,2025-09-01 16:40:00,Discover,Tehran,100.5,14
Success,2025-09-25 09:00:00,Discover,Tabriz,0.0,66
Fail,2025-09-07 18:12:00,Mastercard,Tehran,205000.0,97
Fail,2025-09-09 08:08:00,Discover,Qom,2020587.5,96
Fail,2025-09-24 08:08:00,Mastercard,Tehran,343679.0,75
Fail,2025-09-01 09:09:00,Mastercard,Tehran,177050.0,87
Fail,2025-09-12 12:12:00,Visa,Qom,452545.0,67
Success,2025-09-08 16:40:00,Mastercard,Tehran,774681.0,31
Success,2025-09-24 16:40:00,Visa,Tabriz,100.5,33
Fail,2025-09-11 23:17:00,Visa,Shiraz,1000.0,89
Fail,2025-09-19 02:37:00,Mastercard,Isfahan,120000.0,1
Fail,2025-09-17 16:40:00,Visa,Mashhad,850000.0,44
Fail,2025-09-08 22:27:00,Visa,Tehran,412308.0,15
Success,2025-09-03 02:37:00,Mastercard,Isfahan,5000.0,37
Success,2025-09-03 03:27:00,Discover,Isfahan,545116.0,27
Fail,2025-09-01 02:37:00,Mastercard,Karaj,419089.0,48
Fail,2025-09-27 19:40:00,Discover,Tabriz,452545.0,27
Success,2025-09-05 16:40:00,Visa,Tehran,100000.0,12
Fail,2025-09-10 02:20:00,Mastercard,Tehran,1305967.0,67
Success,2025-09-07 03:27:00,Visa,Tehran,452545.0,30
Success,2025-09-26 09:09:00,Mastercard,Tehran,0.0,97
Fail,2025-09-09 21:21:00,American Express,Tabriz,419089.0,88
Fail,2025-09-28 00:00:00,Mastercard,Qom,976246.0,66
Fail,2025-09-07 23:59:00,Mastercard,Tehran,452545.0,7
Success,2025-09-09 10:48:00,Mastercard,Shiraz,1158713.0,34
Success,2025-09-08 16:40:00,Discover,Tehran,0.0,32
Fail,2025-09-12 19:51:00,Discover,Tehran,914465.0,39
Success,2025-09-02 10:48:00,Master Card,Karaj,1768588.0,97
Success,2025-09-01 04:15:00,Discover,Tabriz,452545.0,43
Fail,2025-09-16 12:34:00,Visa,Tehran,300000.0,43
Success,2025-09-23 07:32:00,Visa,Karaj,452545.0,78
Success,2025-09-23 22:27:00,Mastercard,Ahvaz,1768588.0,3
Success,2025-09-30 18:00:00,American Express,Karaj,1427657.0,46
Fail,2025-09-24 00:00:00,Visa,Tehran,120000.0,32
Fail,2025-09-05 07:32:00,Visa,Mashhad,200000.0,43
Fail,2025-09-03 07:32:00,Visa,Tehran,0.0,81
Fail,2025-09-12 02:30:00,American Express,Tehran,914282.0,3
Success,2025-09-08 23:17:00,Visa,Tabriz,452545.0,74
Success,2025-09-22 20:33:00,Visa,Tehran,452545.0,63
Fail,2025-09-27 07:32:00,American Express,Qom,471227.0,40
Success,2025-09-03 12:12:00,Discover,Tehran,177050.0,18
Fail,2025-09-01 09:09:00,American Express,Isfahan,850000.0,67
Success,2025-09-03 23:59:00,Mastercard,Tehran,914465.0,62
Success,2025-09-05 02:37:00,American Express,Isfahan,250000.0,10
Success,2025-09-15 23:59:00,Visa,Shiraz,250000.0,52
Success,2025-09-14 02:30:00,Visa,Isfahan,976246.0,73
Success,2025-09-03 21:10:00,Mastercard,Isfahan,900000.0,46
Fail,2025-09-01 18:00:00,Visa,Unknown,0.0,55
Fail,2025-09-05 05:56:00,American Express,Karaj,250000.0,46
Fail,2025-09-26 19:19:00,American Express,Mashhad,12345.0,75
Fail,2025-09-23 21:21:00,Visa,Qom,1883871.0,60
Success,2025-09-14 07:08:00,Visa,Shiraz,850000.0,98
Success,2025-09-07 02:37:00,Mastercard,Tehran,250000.0,26
Success,2025-09-27 01:51:00,American Express,Tehran,300000.0,27
Success,2025-09-09 12:44:00,Visa,Shiraz,585954.0,38
Fail,2025-09-15 19:51:00,Discover,Isfahan,914282.0,22
Fail,2025-09-15 00:00:00,Mastercard,Tehran,1502601.0,26
Fail,2025-09-26 02:37:00,American Express,Tabriz,1578078.0,87
Success,2025-09-10 22:27:00,Mastercard,Tehran,1578078.0,69
Fail,2025-09-28 00:00:00,Visa,Tehran,200000.0,35
Success,2025-09-13 00:00:00,Visa,Tabriz,0.0,66
Success,2025-09-19 21:23:00,Discover,Tehran,914282.0,100
Success,2025-09-07 20:33:00,Visa,Shiraz,1000.0,73
Fail,2025-09-17 10:48:00,American Express,Mashhad,1782689.0,51
Fail,2025-09-20 20:33:00,Discover,Qom,419089.0,18
Fail,2025-09-29 00:00:00,Visa,Isfahan,452545.0,43
Success,2025-09-04 21:23:00,Discover,Mashhad,1158713.0,12
Fail,2025-09-30 10:48:00,Mastercard,Ahvaz,443463.0,3
Fail,2025-09-05 10:05:00,Visa,Tabriz,120000.0,82
Success,2025-09-23 13:13:00,American Express,Isfahan,2020587.5,7
Fail,2025-09-07 12:34:00,Mastercard,Tehran,1472823.0,98
Success,2025-09-13 23:17:00,American Express,Tehran,419089.0,6
Success,2025-09-15 01:51:00,Mastercard,Tabriz,452545.0,82
Success,2025-09-11 09:00:00,American Express,Tehran,650000.0,45
Fail,2025-09-29 08:08:00,Discover,Tehran,2020587.5,87
Fail,2025-09-04 09:45:00,Visa,Tabriz,0.0,39
Fail,2025-09-13 18:45:00,Mastercard,Tehran,1578078.0,51
Fail,2025-09-07 11:11:00,Discover,Tehran,585954.0,9
Fail,2025-09-27 02:54:00,Visa,Isfahan,200000.0,100
Success,2025-09-19 12:44:00,Mastercard,Tehran,583952.0,23
Success,2025-09-22 11:11:00,Visa,Ahvaz,1463119.0,12
Fail,2025-09-28 07:32:00,Visa,Ahvaz,177050.0,89
Fail,2025-09-02 23:17:00,Mastercard,Isfahan,0.0,62
Success,2025-09-10 14:11:00,Mastercard,Tehran,0.0,73
Fail,2025-09-13 04:15:00,Visa,Karaj,0.0,77
Fail,2025-09-30 07:08:00,American Express,Karaj,2020587.5,40
Success,2025-09-25 02:20:00,Visa,Tehran,0.0,54
Fail,2025-09-21 23:59:00,Visa,Karaj,100.5,81
Success,2025-09-06 19:40:00,Discover,Tehran,1502601.0,7
Fail,2025-09-28 20:33:00,Mastercard,Tabriz,452545.0,17
Success,2025-09-28 14:11:00,Visa,Karaj,200000.0,50
Fail,2025-09-12 22:27:00,Discover,Karaj,419089.0,24
Fail,2025-09-12 00:00:00,Mastercard,Tabriz,200000.0,2
Success,2025-09-20 21:21:00,American Express,Mashhad,452545.0,100
Success,2025-09-30 02:30:00,Visa,Tehran,914465.0,93
Success,2025-09-30 10:05:00,Mastercard,Tehran,50200.0,83
Fail,2025-09-11 21:21:00,Visa,Tehran,976246.0,33
Success,2025-09-26 03:27:00,Discover,Qom,200000.0,21
Fail,2025-09-23 21:23:00,Mastercard,Shiraz,177050.0,74
Success,2025-09-28 19:19:00,Discover,Tehran,452545.0,53
Success,2025-09-25 14:55:00,Visa,Qom,452545.0,46
Success,2025-09-07 14:02:00,Visa,Tabriz,850000.0,45
Success,2025-09-30 14:11:00,Visa,Tehran,443463.0,9
Fail,2025-09-01 02:30:00,Mastercard,Tehran,99999.0,6
